outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
"RA1_a. Se han caracterizado y diferenciado los modelos de ejecución de código en el servidor y en el cliente Web.";RA1_a;;"Superado/No superado";"No superado,Superado";
"RA1_b. Se han reconocido las ventajas que proporciona la generación dinámica de páginas Web y sus diferencias con la inclusión de sentencias de guiones en el interior de las páginas Web.";RA1_b;;"Superado/No superado";"No superado,Superado";
"RA1_c. Se han identificado los mecanismos de ejecución de código en los servidores Web.";RA1_c;;"Superado/No superado";"No superado,Superado";
"RA1_d. Se han reconocido las funcionalidades que aportan los servidores de aplicaciones y su integración con los servidores Web.";RA1_d;;"Superado/No superado";"No superado,Superado";
"RA1_e. Se han identificado y caracterizado los principales lenguajes y tecnologías relacionados con la programación Web en entorno servidor.";RA1_e;;"Superado/No superado";"No superado,Superado";
"RA1_f. Se han verificado los mecanismos de integración de los lenguajes de marcas con los lenguajes de programación en entorno servidor.";RA1_f;;"Superado/No superado";"No superado,Superado";
"RA1_g. Se han reconocido y evaluado las herramientas de programación en entorno servidor.";RA1_g;;"Superado/No superado";"No superado,Superado";
"RA2_a. Se han reconocido los mecanismos de generación de páginas Web a partir de lenguajes de marcas con código embebido.";RA2_a;;"Superado/No superado";"No superado,Superado";
"RA2_b. Se han identificado las principales tecnologías asociadas.";RA2_b;;"Superado/No superado";"No superado,Superado";
"RA2_c. Se han utilizado etiquetas para la inclusión de código en el lenguaje de marcas.";RA2_c;;"Superado/No superado";"No superado,Superado";
"RA2_d. Se ha reconocido la sintaxis del lenguaje de programación que se ha de utilizar.";RA2_d;;"Superado/No superado";"No superado,Superado";
"RA2_e. Se han escrito sentencias simples y se han comprobado sus efectos en el documento resultante.";RA2_e;;"Superado/No superado";"No superado,Superado";
"RA2_f. Se han utilizado directivas para modificar el comportamiento predeterminado.";RA2_f;;"Superado/No superado";"No superado,Superado";
"RA2_g. Se han utilizado los distintos tipos de variables y operadores disponibles en el lenguaje.";RA2_g;;"Superado/No superado";"No superado,Superado";
"RA2_h. Se han identificado los ámbitos de utilización de las variables.";RA2_h;;"Superado/No superado";"No superado,Superado";
"RA3_a. Se han utilizado mecanismos de decisión en la creación de bloques de sentencias.";RA3_a;;"Superado/No superado";"No superado,Superado";
"RA3_b. Se han utilizado bucles y se ha verificado su funcionamiento.";RA3_b;;"Superado/No superado";"No superado,Superado";
"RA3_c. Se han utilizado 'arrays' para almacenar y recuperar conjuntos de datos.";RA3_c;;"Superado/No superado";"No superado,Superado";
"RA3_d. Se han creado y utilizado funciones.";RA3_d;;"Superado/No superado";"No superado,Superado";
"RA3_e. Se han utilizado formularios web para interactuar con el usuario del navegador web.";RA3_e;;"Superado/No superado";"No superado,Superado";
"RA3_f. Se han empleado métodos para recuperar la información introducida en el formulario.";RA3_f;;"Superado/No superado";"No superado,Superado";
"RA3_g. Se han añadido comentarios al código.";RA3_g;;"Superado/No superado";"No superado,Superado";
"RA4_a. Se han identificado los mecanismos disponibles para el mantenimiento de la información que concierne a un cliente web concreto y se han señalado sus ventajas.";RA4_a;;"Superado/No superado";"No superado,Superado";
"RA4_b. Se han utilizado sesiones para mantener el estado de las aplicaciones Web.";RA4_b;;"Superado/No superado";"No superado,Superado";
"RA4_c. Se han utilizado 'cookies' para almacenar información en el cliente Web y para recuperar su contenido.";RA4_c;;"Superado/No superado";"No superado,Superado";
"RA4_d. Se han identificado y caracterizado los mecanismos disponibles para la autentificación de usuarios.";RA4_d;;"Superado/No superado";"No superado,Superado";
"RA4_e. Se han escrito aplicaciones que integren mecanismos de autentificación de usuarios.";RA4_e;;"Superado/No superado";"No superado,Superado";
"RA4_f. Se han realizado adaptaciones a aplicaciones Web existentes como gestores de contenidos u otras.";RA4_f;;"Superado/No superado";"No superado,Superado";
"RA4_g. Se han utilizado herramientas y entornos para facilitar la programación, prueba y depuración del código.";RA4_g;;"Superado/No superado";"No superado,Superado";
"RA5_a. Se han identificado las ventajas de separar la lógica de negocio de los aspectos de presentación de la aplicación.";RA5_a;;"Superado/No superado";"No superado,Superado";
"RA5_b. Se han analizado tecnologías y mecanismos que permiten realizar esta separación y sus características principales.";RA5_b;;"Superado/No superado";"No superado,Superado";
"RA5_c. Se han utilizado objetos y controles en el servidor para generar el aspecto visual de la aplicación web en el cliente.";RA5_c;;"Superado/No superado";"No superado,Superado";
"RA5_d. Se han utilizado formularios generados de forma dinámica para responder a los eventos de la aplicación Web.";RA5_d;;"Superado/No superado";"No superado,Superado";
"RA5_e. Se han identificado y aplicado los parámetros relativos a la configuración de la aplicación Web.";RA5_e;;"Superado/No superado";"No superado,Superado";
"RA5_f. Se han escrito aplicaciones Web con mantenimiento de estado y separación de la lógica de negocio.";RA5_f;;"Superado/No superado";"No superado,Superado";
"RA5_g. Se han aplicado los principios de la programación orientada a objetos.";RA5_g;;"Superado/No superado";"No superado,Superado";
"RA5_h. Se ha probado y documentado el código.";RA5_h;;"Superado/No superado";"No superado,Superado";
"RA6_a. Se han reconocido las características propias y el ámbito de aplicación de los servicios Web.";RA6_a;;"Superado/No superado";"No superado,Superado";
"RA6_b. Se han reconocido las ventajas de utilizar servicios Web para proporcionar acceso a funcionalidades incorporadas a la lógica de negocio de una aplicación.";RA6_b;;"Superado/No superado";"No superado,Superado";
"RA6_c. Se han identificado las tecnologías y los protocolos implicados en la publicación y utilización de servicios Web.";RA6_c;;"Superado/No superado";"No superado,Superado";
"RA6_d. Se ha programado un servicio Web.";RA6_d;;"Superado/No superado";"No superado,Superado";
"RA6_e. Se ha creado el documento de descripción del servicio Web.";RA6_e;;"Superado/No superado";"No superado,Superado";
"RA6_f. Se ha verificado el funcionamiento del servicio Web.";RA6_f;;"Superado/No superado";"No superado,Superado";
"RA6_g. Se ha consumido el servicio Web.";RA6_g;;"Superado/No superado";"No superado,Superado";
"RA7_a. Se han reconocido las características propias y el ámbito de aplicación de los servicios Web.";RA7_a;;"Superado/No superado";"No superado,Superado";
"RA7_b. Se han reconocido las ventajas de utilizar servicios Web para proporcionar acceso a funcionalidades incorporadas a la lógica de negocio de una aplicación.";RA7_b;;"Superado/No superado";"No superado,Superado";
"RA7_c. Se han identificado las tecnologías y los protocolos implicados en la publicación y utilización de servicios Web.";RA7_c;;"Superado/No superado";"No superado,Superado";
"RA7_d. Se ha programado un servicio Web.";RA7_d;;"Superado/No superado";"No superado,Superado";
"RA7_e. Se ha creado el documento de descripción del servicio Web.";RA7_e;;"Superado/No superado";"No superado,Superado";
